DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,AÑO
CAUCA,19809.0,TIMBIQUÍ,19809026.0,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020.0,1.0,9464,1581.0,51.77,miércoles,2020-01-15 18:45:00,6.5,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809023.0,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020.0,1.0,30165,10630.0,168.08,domingo,2020-01-15 18:45:00,7.05,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809007.0,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020.0,1.0,6346,3460.0,45.53,sábado,2020-01-15 18:45:00,5.46,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809008.0,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020.0,1.0,12368,4382.0,75.2,martes,2020-01-15 18:45:00,6.36,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809009.0,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2020.0,1.0,2410,671.0,24.31,martes,2020-01-15 18:45:00,4.01,19.0,18:45:00,
CHOCO,27006.0,ACANDÍ,27006000.0,ACANDÍ (ACANDÍ - CHOCÓ),2020.0,1.0,418615,191068.0,941.6,viernes,2020-01-17 20:45:00,19.23,27.0,20:45:00,
CHOCO,27006.0,ACANDÍ,27006003.0,CAPURGANÁ (ACANDÍ - CHOCO),2020.0,1.0,296137,107670.0,833.89,viernes,2020-01-17 20:45:00,18.23,27.0,20:45:00,
CHOCO,27025.0,ALTO BAUDÓ (PIE DE PATO),27025000.0,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2020.0,1.0,32654,8739.0,143.18,martes,2020-01-17 20:45:00,12.54,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075000.0,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2020.0,1.0,611938,224941.0,1191.96,viernes,2020-01-17 20:45:00,23.56,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075002.0,EL VALLE (BAHÍA SOLANO - CHOCÓ),2020.0,1.0,150660,70006.0,312.05,viernes,2020-01-17 20:45:00,23.52,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075001.0,CUPICA (BAHÍA SOLANO - CHOCÓ),2020.0,1.0,57963,25684.0,152.14,sábado,2020-01-17 20:45:00,20.58,27.0,20:45:00,
CHOCO,27077.0,BAJO BAUDÓ (PIZARRO),27077000.0,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020.0,1.0,186716,83630.0,533.81,viernes,2020-01-17 20:45:00,20.54,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099000.0,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020.0,1.0,79288,28402.0,242.36,sábado,2020-01-17 20:45:00,14.56,27.0,20:45:00,
