DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,CATEGORIA_ZNI
CHOCO,27006,ACANDI,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2020,1,418615,191068,941.6,Viernes,2020-01-17 20:45:00,19.23,27,20:45:00,2
CHOCO,27006,ACANDI,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2020,1,296137,107670,833.89,Viernes,2020-01-17 20:45:00,18.23,27,20:45:00,2
CHOCO,27025,ALTO BAUDO (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2020,1,32654,8739,143.18,Viernes,2020-01-17 20:45:00,12.54,27,20:45:00,0
CHOCO,27075,BAHIA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2020,1,611938,224941,1191.96,Viernes,2020-01-17 20:45:00,23.56,27,20:45:00,2
CHOCO,27075,BAHIA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2020,1,150660,70006,312.05,Viernes,2020-01-17 20:45:00,23.52,27,20:45:00,2
CHOCO,27075,BAHIA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2020,1,57963,25684,152.14,Viernes,2020-01-17 20:45:00,20.58,27,20:45:00,2
CHOCO,27077,BAJO BAUDO (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020,1,186716,83630,533.81,Viernes,2020-01-17 20:45:00,20.54,27,20:45:00,2
CHOCO,27099,BOJAYA (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,79288,28402,242.36,Viernes,2020-01-17 20:45:00,14.56,27,20:45:00,0
CHOCO,27099,BOJAYA (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,13519,5124,83.2,Viernes,2020-01-17 20:45:00,7.42,27,20:45:00,0
CHOCO,27099,BOJAYA (BELLAVISTA),27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2020,1,4355,1136,45.6,Viernes,2020-01-17 20:45:00,3.35,27,20:45:00,0
CHOCO,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2020,1,70549,36589,186.25,Viernes,2020-01-17 20:45:00,17.12,27,20:45:00,2
CHOCO,27425,MEDIO ATRATO (BETE),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2020,1,7336,2747,84.0,Viernes,2020-01-17 20:45:00,4.4,27,20:45:00,0
CHOCO,27495,NUQUI,27495001,ARUSÍ (NUQUÍ - CHOCO),2020,1,10287,4875,51.2,Viernes,2020-01-17 20:45:00,8.05,27,20:45:00,0
CHOCO,27495,NUQUI,27495912,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2020,1,5875,1484,11.21,Viernes,2020-01-17 20:45:00,19.12,27,20:45:00,2
CHOCO,27495,NUQUI,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2020,1,198811,62901,482.24,Viernes,2020-01-17 20:45:00,19.34,27,20:45:00,2
CHOCO,27001,QUIBDO,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2020,1,4956,1100,70.49,Viernes,2020-01-17 20:45:00,3.36,27,20:45:00,0
CHOCO,27745,SIPI,27745000,SIPÍ (SIPÍ - CHOCO),2020,1,10872,3028,74.8,Viernes,2020-01-17 20:45:00,5.42,27,20:45:00,0
CHOCO,27800,UNGUIA,27800001,BALBOA (UNGUÍA - CHOCÓ),2020,1,16481,6458,89.87,Viernes,2020-01-17 20:45:00,7.41,27,20:45:00,0
CHOCO,27800,UNGUIA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2020,1,9739,4014,69.78,Viernes,2020-01-17 20:45:00,5.4,27,20:45:00,0
CHOCO,27800,UNGUIA,27800000,UNGUÍA (UNGUÍA - CHOCÓ),2020,1,257893,93064,779.24,Viernes,2020-01-17 20:45:00,15.43,27,20:45:00,2
GUAINIA,94343,BARRANCOMINAS,94343000,BARRANCOMINAS (BARRANCOMINAS - GUAINÍA),2020,1,39131,13849,154.14,Sábado,2020-02-01 18:45:00,11.08,94,18:45:00,0
GUAINIA,94001,INIRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2020,1,1643134,551952,3193.52,Sábado,2020-02-01 18:45:00,24.0,94,18:45:00,2
GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES (MIRAFLORES - GUAVIARE),2020,1,78171,27605,201.08,Sábado,2020-02-15 19:15:00,17.36,95,19:15:00,2
LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2020,1,15660,7303,213.98,Sábado,2020-01-11 19:30:00,3.51,44,19:30:00,0
MAGDALENA,47189,CIENAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2020,1,95888,36336,188.48,Miércoles,2020-01-22 19:00:00,23.36,47,19:00:00,2
META,50325,MAPIRIPAN,50325000,MAPIRIPÁN (MAPIRIPÁN - META),2020,1,133744,56337,288.64,Miércoles,2020-01-08 18:30:00,23.37,50,18:30:00,2
NARIÑO,52250,EL CHARCO,52250023,BAZÁN (EL CHARCO - NARIÑO),2020,1,16316,7561,105.6,Viernes,2020-01-31 18:45:00,5.59,52,18:45:00,0
NARIÑO,52250,EL CHARCO,52250022,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),2020,1,5358,1798,35.28,Viernes,2020-01-31 18:45:00,6.15,52,18:45:00,0
NARIÑO,52250,EL CHARCO,52250007,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2020,1,13262,3324,96.0,Viernes,2020-01-31 18:45:00,5.4,52,18:45:00,0
NARIÑO,52390,LA TOLA,52390013,AMÁRALES (LA TOLA - NARIÑO),2020,1,5064,1180,70.34,Viernes,2020-01-31 18:45:00,2.53,52,18:45:00,0
NARIÑO,52390,LA TOLA,52390003,LA VIGÍA DE LA MAR (LA TOLA - NARIÑO),2020,1,4676,1440,31.96,Viernes,2020-01-31 18:45:00,6.08,52,18:45:00,0
NARIÑO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2020,1,4243,2448,37.7,Viernes,2020-01-31 18:45:00,5.56,52,18:45:00,0
NARIÑO,52390,LA TOLA,52390016,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2020,1,4497,805,35.42,Viernes,2020-01-31 18:45:00,5.34,52,18:45:00,0
NARIÑO,52490,OLAYA HERRERA,52490913,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2020,1,3143,624,21.84,Viernes,2020-01-31 18:45:00,5.33,52,18:45:00,0
NARIÑO,52490,OLAYA HERRERA,52490008,SAN JOSÉ CALABAZAL (OLAYA HERRERA - NARIÑO),2020,1,5320,1723,44.57,Viernes,2020-01-31 18:45:00,4.3,52,18:45:00,0
